Subject,Level,Topic,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType
Math310,30,Multiplication (10x ),What is 10 × 7 ?,68,69,70,71,70,MCQ
Math311,30,Multiplication (10x ),What is 10 × 8 ?,78,79,80,81,80,MCQ
Math312,30,Multiplication (10x ),What is 10 × 9 ?,88,89,90,91,90,MCQ
Math313,30,Multiplication (10x ),What is 10 × 10 ?,98,99,100,101,100,MCQ
Math314,31,Multiplication (10x ),What is 8 × 10 ?,78,79,80,81,80,MCQ
Math315,31,Multiplication (10x ),What is 2 × 10 ?,18,19,20,21,20,MCQ
Math316,31,Multiplication (10x ),What is 10 × 10 ?,98,99,100,101,100,MCQ
Math317,31,Multiplication (10x ),What is 5 × 10 ?,48,49,50,51,50,MCQ
Math318,31,Multiplication (10x ),What is 1 × 10 ?,9,10,11,12,10,MCQ
Math319,31,Multiplication (10x ),What is 7 × 10 ?,68,69,70,71,70,MCQ
Math320,31,Multiplication (10x ),What is 3 × 10 ?,28,29,30,31,30,MCQ
Math321,31,Multiplication (10x ),What is 9 × 10 ?,88,89,90,91,90,MCQ
Math322,31,Multiplication (10x ),What is 6 × 10 ?,58,59,60,61,60,MCQ
Math323,31,Multiplication (10x ),What is 4 × 10 ?,38,39,40,41,40,MCQ
Math324,32,Multiplication (10x ),Each packet has 10 biscuits. How many biscuits are in 8 packets?,78,79,80,81,80,MCQ
Math325,32,Multiplication (10x ),There are 10 apples in each basket. How many apples are in 3 baskets?,28,29,30,31,30,MCQ
Math326,32,Multiplication (10x ),Each shelf holds 10 books. How many books are on 10 shelves?,98,99,100,101,100,MCQ
Math327,32,Multiplication (10x ),A box contains 10 crayons. How many crayons are in 5 boxes?,48,49,50,51,50,MCQ
Math328,32,Multiplication (10x ),There are 10 flowers in each vase. How many flowers are in 6 vases?,58,59,60,61,60,MCQ
Math329,32,Multiplication (10x ),Each bag has 10 oranges. How many oranges are in 9 bags?,88,89,90,91,90,MCQ
Math330,32,Multiplication (10x ),A teacher gives 10 pencils to each of 2 students. How many pencils are given?,18,19,20,21,20,MCQ
Math331,32,Multiplication (10x ),Each toy costs 10 dollars. What is the cost of 7 toys?,68,69,70,71,70,MCQ
Math332,32,Multiplication (10x ),A shop sells 10 balloons every hour. How many balloons are sold in 4 hours?,38,39,40,41,40,MCQ
Math333,32,Multiplication (10x ),A child gets 10 stickers. How many stickers does 1 child get?,9,10,11,12,10,MCQ
Math334,33,Multiplication,5 x 2 = _____,,,,,10,FillBlank
Math335,33,Multiplication,3 x 2 = _____,,,,,6,FillBlank
Math336,33,Multiplication,10 x 10 = _____,,,,,100,FillBlank
Math337,33,Multiplication,3 x 10 = _____,,,,,30,FillBlank
Math338,33,Multiplication,4 x 4 = _____,,,,,16,FillBlank
Math339,33,Multiplication,5 x 5 = _____,,,,,25,FillBlank
Math340,33,Multiplication,10 x 5 = _____,,,,,50,FillBlank
Math341,33,Multiplication,7 x 2 = _____,,,,,14,FillBlank
Math342,33,Multiplication,7 x 4 = _____,,,,,28,FillBlank
Math343,33,Multiplication,8 x 10 = _____,,,,,80,FillBlank
Math344,33,Multiplication,6 x 7 = _____,,,,,42,FillBlank
Math345,33,Multiplication,8 x 3 = _____,,,,,24,FillBlank
Math346,33,Multiplication,6 x 3 = _____,,,,,18,FillBlank
Math347,33,Multiplication,5 x 6 = _____,,,,,30,FillBlank
Math348,33,Multiplication,8 x 3 = _____,,,,,24,FillBlank
